Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"207-r101",1U : Urban Principal Arterial - Interstate,32.950884,-83.810965,2024,1220,Estimated,,,,,0.0922,1,1650,Short Term
"207-r102",1U : Urban Principal Arterial - Interstate,32.951696,-83.810794,2024,810,Estimated,,,,,0.1372,1,1400,Short Term
"207-r602",1U : Urban Principal Arterial - Interstate,32.939169,-83.779630,2024,1260,Estimated,,,,,0.1489,1,1590,Short Term
"207-r605",1R : Rural Principal Arterial - Interstate,32.992693,-83.847568,2024,650,Estimated,,,,,0.0929,1,1070,Short Term
"207-r606",1R : Rural Principal Arterial - Interstate,32.989600,-83.842458,2024,1330,Estimated,,,,,0.1174,1,1970,Short Term
"207-r609",1R : Rural Principal Arterial - Interstate,33.029062,-83.912514,2024,2840,Estimated,,,,,0.0773,1,5380,Short Term
"207-r610",1R : Rural Principal Arterial - Interstate,33.026962,-83.909146,2024,3080,Estimated,,,,,0.0724,1,5390,Short Term
"207-r611",1R : Rural Principal Arterial - Interstate,33.036605,-83.925240,2024,910,Estimated,,,,,0.0893,1,1150,Short Term
"207-r612",1R : Rural Principal Arterial - Interstate,33.033836,-83.919629,2024,1430,Estimated,,,,,0.1125,1,1800,Short Term
"207-r613",1R : Rural Principal Arterial - Interstate,33.043308,-83.939602,2024,2250,Estimated,,,,,0.1036,1,2930,Short Term
"207-r614",1R : Rural Principal Arterial - Interstate,33.041770,-83.936909,2024,2790,Estimated,,,,,0.0772,1,3520,Short Term
"207-r615",1R : Rural Principal Arterial - Interstate,33.054450,-83.952695,2024,980,Estimated,,,,,0.1173,1,1240,Short Term
"207-r616",1R : Rural Principal Arterial - Interstate,33.051895,-83.949404,2024,2090,Estimated,,,,,0.1056,1,2980,Short Term
"207-r621",1R : Rural Principal Arterial - Interstate,33.114008,-84.004173,2024,920,Estimated,,,,,0.1189,1,1820,Short Term
"207-r622",1R : Rural Principal Arterial - Interstate,33.110643,-84.003367,2024,1110,Estimated,,,,,0.1118,1,2040,Short Term
"207-r628",1R : Rural Principal Arterial - Interstate,33.163855,-84.039661,2024,990,Estimated,,,,,0.1443,1,1630,Short Term
"207-r701",1R : Rural Principal Arterial - Interstate,32.950830,-83.813776,2024,1360,Estimated,,,,,0.1086,1,2060,Short Term
"207-r702",1R : Rural Principal Arterial - Interstate,32.951748,-83.814100,2024,780,Estimated,,,,,0.0989,1,1190,Short Term
"209-0101",3U : Urban Principal Arterial - Other,32.214037,-82.457053,2024,6660,Actual,374,322,5.538,2.532,0.095,0.69,11200,Short Term
"209-0102",4R : Rural Minor Arterial,32.213244,-82.465718,2024,3340,Actual,309,313,6.94,5.363,0.0948,0.51,,Short Term
"209-0103",4R : Rural Minor Arterial,32.225294,-82.473495,2024,2980,Actual,292,354,6.716,3.731,0.0899,0.54,4970,Short Term
"209-0105",4R : Rural Minor Arterial,32.267402,-82.503290,2024,3570,Estimated,255,352,4.194,6.452,0.0911,0.54,4500,Short Term
"209-0107",4R : Rural Minor Arterial,32.303473,-82.549748,2024,3170,Estimated,245,328,6.494,6.169,0.0988,0.51,3990,Short Term
"209-0114",3R : Rural Principal Arterial - Other,32.189641,-82.613235,2024,4260,Actual,261,356,6.736,5.44,0.0906,0.56,5370,Short Term
"209-0118",3R : Rural Principal Arterial - Other,32.181603,-82.587554,2024,5210,Estimated,184,258,,,0.0852,0.51,6570,Short Term
"209-0121",3R : Rural Principal Arterial - Other,32.186224,-82.576884,2024,5150,Estimated,267,210,6.321,1.354,0.0901,0.61,7190,Short Term
"209-0123",3R : Rural Principal Arterial - Other,32.201170,-82.492500,2024,4520,Actual,82,246,2.923,4.384,0.106,0.66,5700,CCS
"209-0132",5R : Rural Major Collector,32.155220,-82.570521,2024,120,Actual,11,9,10.526,5.263,0.1638,0.79,150,Short Term
"209-0134",5R : Rural Major Collector,32.168712,-82.560119,2024,400,Actual,,,,,0.1437,0.69,750,Short Term
"209-0136",5R : Rural Major Collector,32.179354,-82.564514,2024,200,Actual,,,,,0.1423,0.71,250,Short Term
"209-0138",5R : Rural Major Collector,32.032223,-82.497580,2024,1430,Actual,164,307,8.696,18.841,0.0964,0.52,1800,Short Term
"209-0141",5R : Rural Major Collector,32.034777,-82.504664,2024,1570,Actual,136,297,11.806,11.111,0.0915,0.5,1980,Short Term
"209-0143",4R : Rural Minor Arterial,32.063867,-82.537464,2024,1170,Estimated,104,209,5.556,15.873,0.1102,0.56,1470,Short Term
"209-0147",4R : Rural Minor Arterial,32.132317,-82.565242,2024,1230,Actual,96,185,9.756,13.821,0.1004,0.58,1740,Short Term
"209-0149",4R : Rural Minor Arterial,32.170595,-82.590053,2024,1590,Estimated,130,210,3.681,10.429,0.1045,0.53,2000,Short Term
"209-0150",4R : Rural Minor Arterial,32.174680,-82.594630,2024,1650,Actual,109,87,4.11,1.37,0.0885,1,2680,Short Term
"209-0151",4R : Rural Minor Arterial,32.173800,-82.594488,2024,1610,Actual,115,87,4.196,4.196,0.0887,1,3260,Short Term
"209-0152",4R : Rural Minor Arterial,32.175399,-82.595082,2024,2360,Estimated,120,192,3.814,6.356,0.102,0.51,2970,Short Term
"209-0154",4R : Rural Minor Arterial,32.188551,-82.593952,2024,2030,Actual,129,157,7,2.5,0.0985,0.51,2560,Short Term
"209-0156",4R : Rural Minor Arterial,32.196039,-82.595972,2024,1700,Estimated,111,209,7.317,8.537,0.0985,0.62,2140,Short Term
"209-0158",4R : Rural Minor Arterial,32.230902,-82.607028,2024,1150,Actual,62,102,3.478,4.348,0.1004,0.52,1450,Short Term
"209-0161",4R : Rural Minor Arterial,32.286708,-82.595302,2024,780,Estimated,41,156,9.333,6.667,0.0986,0.52,980,Short Term
"209-0163",4R : Rural Minor Arterial,32.151470,-82.461592,2024,1470,Actual,104,111,4.895,3.497,0.0975,0.57,1850,Short Term
"209-0165",4R : Rural Minor Arterial,31.972164,-82.514184,2024,4230,Actual,300,693,9.778,12.667,0.1064,0.51,5430,Short Term
"209-0167",4R : Rural Minor Arterial,32.010933,-82.509975,2024,4280,Actual,313,681,9.663,12.584,0.1039,0.55,6540,Short Term
"209-0169",4R : Rural Minor Arterial,32.026222,-82.508260,2024,4470,Actual,314,676,7.143,10.837,0.0908,0.6,6510,Short Term
"209-0172",4R : Rural Minor Arterial,32.040956,-82.506033,2024,3610,Actual,229,345,8.081,5.051,0.1097,0.5,4600,Short Term
"209-0174",4R : Rural Minor Arterial,32.067735,-82.487152,2024,3460,Actual,217,309,5.882,6.192,0.0933,0.62,5670,Short Term
"209-0178",4R : Rural Minor Arterial,32.081172,-82.480968,2024,2300,Actual,174,256,6.466,6.466,0.101,0.53,2900,Short Term
"209-0181",4R : Rural Minor Arterial,32.100459,-82.481855,2024,1780,Actual,142,256,4.592,7.653,0.1099,0.56,2240,Short Term
"209-0185",4R : Rural Minor Arterial,32.134394,-82.475701,2024,2080,Estimated,163,256,6.832,11.18,0.0804,0.5,2800,Short Term
"209-0187",4R : Rural Minor Arterial,32.177332,-82.467334,2024,1110,Actual,93,159,7.483,12.245,0.1326,0.61,1410,Short Term
"209-0189",5R : Rural Major Collector,32.284508,-82.633649,2024,420,Estimated,17,64,8.696,4.348,0.1125,0.57,530,Short Term
"209-0192",5R : Rural Major Collector,32.192217,-82.563597,2024,370,Actual,39,28,7.5,5,0.1096,0.68,470,Short Term
"209-0194",5R : Rural Major Collector,32.219866,-82.553157,2024,200,Actual,15,2,2.703,0,0.1841,0.73,390,Short Term
"209-0196",5R : Rural Major Collector,32.267819,-82.538501,2024,220,Estimated,11,6,,,0.1137,0.8,300,Short Term
"209-0198",5U : Urban Major Collector,32.226747,-82.455358,2024,2860,Actual,238,299,5.769,2.35,0.1638,0.64,3600,Short Term
"209-0201",5R : Rural Major Collector,32.341029,-82.425848,2024,280,Actual,21,15,8.571,5.714,0.1241,0.63,400,Short Term
"209-0203",5R : Rural Major Collector,32.308582,-82.642449,2024,130,Actual,6,0,,,0.1244,0.59,300,Short Term
"209-0205",6R : Rural Minor Collector,32.302759,-82.577379,2024,70,Actual,9,3,30,0,0.1449,0.6,90,Short Term
"209-0209",6R : Rural Minor Collector,32.322764,-82.552202,2024,170,Actual,13,10,8.333,4.167,0.1455,0.67,210,Short Term
"209-0212",5R : Rural Major Collector,32.308881,-82.532858,2024,900,Actual,33,14,7.216,1.031,0.1084,0.51,1310,Short Term
"209-0214",5R : Rural Major Collector,32.286249,-82.494678,2024,1150,Actual,,,,,0.1035,0.55,1450,Short Term
"209-0216",5R : Rural Major Collector,32.265977,-82.460009,2024,1590,Actual,,,,,0.1035,0.6,2000,Short Term
"209-0218",5R : Rural Major Collector,32.304973,-82.492496,2024,340,Actual,17,4,,,0.1299,0.55,430,Short Term
"209-0221",6R : Rural Minor Collector,32.168574,-82.536090,2024,260,Actual,24,3,11.111,0,0.1603,0.76,490,Short Term
"209-0223",6R : Rural Minor Collector,32.152745,-82.494392,2024,320,Actual,36,2,9.756,0,0.1289,0.61,420,Short Term
"209-0225",5R : Rural Major Collector,32.088433,-82.469800,2024,2350,Estimated,133,53,,,0.099,0.75,3550,Short Term
"209-0229",6R : Rural Minor Collector,32.076086,-82.467817,2024,760,Actual,,,,,0.0978,0.51,1050,Short Term
"209-0232",6R : Rural Minor Collector,32.078786,-82.475033,2024,870,Actual,,,,,0.1222,0.56,1100,Short Term
"209-0234",5R : Rural Major Collector,32.083411,-82.486930,2024,700,Actual,,,,,0.1144,0.51,880,Short Term
"209-0236",5R : Rural Major Collector,32.101878,-82.509281,2024,450,Actual,38,12,7.407,3.704,0.12,0.65,590,Short Term
"209-0238",5R : Rural Major Collector,32.141449,-82.543871,2024,590,Estimated,32,1,,,0.1234,0.8,740,Short Term
"209-0241",5R : Rural Major Collector,32.164784,-82.571671,2024,470,Actual,30,4,,,0.1138,0.53,710,Short Term
"209-0243",6R : Rural Minor Collector,32.160575,-82.519535,2024,180,Actual,,,,,0.1124,0.62,250,Short Term
"209-0247",5R : Rural Major Collector,31.990909,-82.526730,2024,1630,Actual,,,,,0.0957,0.68,2110,Short Term
"209-0249",5R : Rural Major Collector,31.987338,-82.509540,2024,1280,Actual,,,,,0.1064,0.56,3060,Short Term
"209-0252",5R : Rural Major Collector,32.176178,-82.577769,2024,610,Actual,17,4,0,0,0.1124,0.52,770,Short Term
"209-0254",5R : Rural Major Collector,32.177830,-82.565443,2024,600,Actual,,,,,0.0973,0.68,760,Short Term
"209-0256",5R : Rural Major Collector,32.181896,-82.569132,2024,70,Actual,2,1,0,0,0.1268,0.78,90,Short Term
"209-8011",7R : Rural Local,32.024539,-82.549754,2024,130,Actual,8,0,,,0.1475,0.55,160,Short Term
"209-8018",7R : Rural Local,32.318200,-82.532400,2024,200,Actual,6,5,0,0,0.105,0.62,300,Short Term
"209-8019",6R : Rural Minor Collector,32.305400,-82.500800,2024,90,Actual,13,1,,,0.1712,0.59,110,Short Term
"209-8020",6R : Rural Minor Collector,32.309926,-82.488056,2024,190,Estimated,16,27,,,0.0971,0.8,430,Short Term
"209-8021",6R : Rural Minor Collector,32.316774,-82.464230,2024,170,Estimated,13,24,,,0.1419,0.8,210,Short Term
"209-8022",7R : Rural Local,32.314400,-82.448400,2024,180,Actual,27,5,16,4,0.1421,0.52,230,Short Term
"209-8023",7R : Rural Local,32.263600,-82.438886,2024,230,Actual,,,,,0.116,0.64,290,Short Term
"209-8024",7R : Rural Local,32.249630,-82.451570,2024,430,Actual,40,13,4.255,0,0.1091,0.51,540,Short Term
"209-8025",6R : Rural Minor Collector,32.245216,-82.578929,2024,140,Estimated,9,1,,,0.1339,0.8,180,Short Term
